sid, performer, compatibility, turn, dir, col, resp, corr, rt
1,2,1,1,2,1,1,1,0.326659152
1,2,2,1,1,1,1,1,0.345401264
1,2,2,1,1,1,1,1,0.298868149
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.30550244
1,2,1,1,2,1,1,1,0.290062425
1,2,1,1,2,1,1,1,0.308991012
1,2,1,1,2,1,1,1,0.327072801
1,2,1,1,2,1,1,1,0.313950377
1,2,2,1,1,1,1,1,0.398227094
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.305977125
1,2,2,1,1,1,1,1,0.325613672
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.302319594
1,2,1,1,2,1,1,1,0.289853702
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.305174539
1,2,2,1,1,1,1,1,0.35412046
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.327115264
1,2,1,1,2,1,1,1,0.379344029
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.287070595
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.261907782
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.297481754
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.320854383
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.293584258
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.273562824
1,2,2,1,1,1,1,1,0.354323839
1,2,1,1,2,1,1,1,0.340874718
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.281720816
1,2,2,1,1,1,1,1,0.613188374
1,2,2,1,1,1,1,1,0.376425377
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.290476231
1,2,1,1,2,1,1,1,0.307629719
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.301033628
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.368431406
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.278344776
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.250855437
1,2,2,1,1,1,1,1,0.301635086
1,2,2,1,1,1,1,1,0.289448166
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.284283083
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.308114512
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.282610425
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.288043178
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.323221608
1,2,2,1,1,1,1,1,0.310057662
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.283090202
1,2,1,1,2,1,1,1,0.30280131
1,2,1,1,2,1,1,1,0.288191927
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.31166505
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.284305266
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.294246225
1,2,2,1,1,1,1,1,0.315121034
1,2,1,1,2,1,1,1,0.300354151
1,2,2,1,1,1,1,1,0.28675074
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.325348213
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.335203465
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.29474789
1,2,2,1,1,1,1,1,0.280600328
1,2,1,1,2,1,1,1,0.299581977
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.35540684
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.328366662
1,2,1,1,2,1,1,1,0.314571745
1,2,1,1,2,1,1,1,0.269885069
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.273098723
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.27872548
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.284221352
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.289945827
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.325670313
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.268514352
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.272936797
1,2,2,1,1,1,1,1,0.323736948
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.249501397
1,2,1,1,2,1,1,1,0.494162378
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.315424832
1,2,2,1,1,1,1,1,0.301560706
1,2,2,1,1,1,1,1,0.290167169
1,2,2,1,1,1,1,1,0.276456682
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.313747904
1,2,1,1,2,1,1,1,0.299163863
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.366135121
1,2,2,1,1,1,1,1,0.320934167
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.343800739
1,2,2,1,1,1,1,1,0.330942304
1,2,2,1,1,1,1,1,0.316019662
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.308359067
1,2,1,1,2,1,1,1,0.294507267
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.332690044
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.305267249
1,2,2,1,1,1,1,1,0.322522387
2,1,1,1,2,1,1,1,0.38633289
2,1,2,1,1,1,1,1,0.325244869
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.303506994
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.308648295
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.314017002
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.317353203
2,1,1,1,2,1,1,1,0.336632625
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.309273567
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.321262067
2,1,1,1,2,1,1,1,0.349356028
2,1,1,1,2,1,1,1,0.325456806
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.329590386
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.344779992
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.38294206
2,1,2,1,1,1,1,1,0.336004838
2,1,1,1,2,1,1,1,0.387125822
2,1,1,1,2,1,1,1,0.34359739
2,1,1,1,2,1,1,1,0.329588695
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.333309572
2,1,2,1,1,1,1,1,0.383774771
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.329531824
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.354864384
2,1,1,1,2,1,1,1,0.340095
2,1,2,1,1,1,1,1,0.326521734
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.33215434
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.337040915
2,1,2,1,1,1,1,1,0.356090767
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.328020002
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.353760939
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.31215836
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.3497715
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.372351365
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.313143098
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.319357759
2,1,1,1,2,1,1,1,0.435071043
2,1,2,1,1,1,1,1,0.355064495
2,1,1,1,2,1,1,1,0.309574309
2,1,1,1,2,1,1,1,0.29794841
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.287966172
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.312233954
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.318608646
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.309285855
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.345951267
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.350223836
2,1,2,1,1,1,1,1,0.338855842
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.347411497
2,1,2,1,1,1,1,1,0.366927507
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.315973909
2,1,1,1,2,1,1,1,0.33134261
2,1,1,1,2,1,1,1,0.318857661
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.282615859
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.319703784
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.325549987
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.317353326
2,1,1,1,2,1,1,1,0.334629208
2,1,2,1,1,1,1,1,0.320578146
2,1,1,1,2,1,1,1,0.338780159
2,1,2,1,1,1,1,1,0.327064212
2,1,2,1,1,1,1,1,0.313460239
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.318699427
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.276209302
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.317596911
2,1,1,1,2,1,1,1,0.306175191
2,1,2,1,1,1,1,1,0.32166701
2,1,1,1,2,1,1,1,0.277253339
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.286566367
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.324914383
2,1,1,1,2,1,1,1,0.310541565
2,1,1,1,2,1,1,1,0.297896391
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.367689308
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.293149928
2,1,1,1,2,1,1,1,0.313337131
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.317874277
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.308405639
2,1,2,1,1,1,1,1,0.329055151
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.278947101
2,1,2,1,1,1,1,1,0.298171005
2,1,1,1,2,1,1,1,0.316965694
2,1,2,1,1,1,1,1,0.27000949
2,1,1,1,2,1,1,1,0.290035678
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.280172577
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.28566865
2,1,2,1,1,1,1,1,0.503728612
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.308749069
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.401707385
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.278459418
2,1,1,1,2,1,1,1,0.298413487
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.301717776
2,1,1,1,2,1,1,1,0.321560488
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.327419026
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.331158133
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.304969761
2,1,1,1,2,1,1,1,0.355715111
2,1,2,1,1,1,1,1,0.310795805
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.282140233
2,1,2,1,1,1,1,1,0.364527936
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.274744631
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.279550524
2,1,2,0,2,2,0,1,7
2,1,1,1,2,1,1,1,0.348128062
2,1,2,1,1,1,1,1,0.369765206
2,1,1,0,1,2,0,1,7
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.298759515
2,1,1,1,2,1,1,1,0.350547547
2,1,1,1,2,1,1,1,0.305885008
2,1,1,0,1,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,2,1,1,1,1,1,0.297190499
2,1,2,0,2,2,0,1,7
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.351540022
2,1,2,0,2,2,0,1,7
2,1,2,1,1,1,1,1,0.35737756
2,1,1,0,1,2,0,1,7
2,1,1,1,2,1,1,1,0.330508814
2,1,2,1,1,1,1,1,0.380310938
