sid, performer, compatibility, turn, dir, col, resp, corr, rt
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.262522275
1,2,2,1,1,1,1,1,0.281069183
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.285713293
1,2,1,1,2,1,1,1,0.30545896
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.279076694
1,2,2,1,1,1,1,1,0.296598854
1,2,1,1,2,1,1,1,0.283411761
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.247495418
1,2,1,1,2,1,1,1,0.267819878
1,2,2,1,1,1,1,1,0.283756528
1,2,2,1,1,1,1,1,0.2714975
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.275596048
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.299170115
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.258874326
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.297654075
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.48070625
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.293521446
1,2,1,1,2,1,1,1,0.279044766
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.285306371
1,2,2,1,1,1,1,1,0.304468629
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.276998014
1,2,1,1,2,1,1,1,0.327086247
1,2,2,1,1,1,1,1,0.282915478
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,1,2,1,1,1,0.259286477
1,2,2,1,1,1,1,1,0.278444402
1,2,2,1,1,1,1,1,0.296295394
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.269273975
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.276132312
1,2,2,1,1,1,1,1,0.324723131
1,2,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.353300072
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.29448066
1,2,2,0,2,2,0,1,7
1,2,2,1,1,1,1,1,0.30121992
1,2,1,0,1,2,0,1,7
1,2,2,1,1,1,1,1,0.284558513
1,2,1,0,1,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
1,2,1,1,2,1,1,1,0.269851385
1,2,1,0,1,2,0,1,7
1,2,2,0,2,2,0,1,7
